committee_date,committee,agenda
2016-10-31,2007904,סדרי הדיון המשולב להודעת ראש הממשלה בפתיחת המושב השלישי של הכנסת ה-20 ולהצעות להביע אי-אמון בממשלה
2016-11-01,2008115,"א. מועדי הדיון לשעת שאלות בכנס החורף הנוכחי, התשע""ז-2016

ב. סדרי הדיון בקריאה הראשונה בהצעות החוק המפורטות להלן:

1. הצעת חוק יסוד: משק המדינה (תיקון מס' 9) (מ/1081).

2. הצעת חוק התקציב לשנות הכספים 2017 ו-2018, התשע""ז-2016 (מ/1082).

3. הצעת חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנות התקציב 2017 ו-2018), התשע""ז-2016 (מ/1083).

4. הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017

ו-2018), התשע""ז-2016 (מ/1083).

5. הצעת חוק הפחתת הגירעון והגבלת ההוצאה התקציבית (תיקון מס' 16) (שיעור הגירעון וסכום ההוצאה הממשלתית בשנות התקציב 20017 ואילך), התשע""ז-2016 (מ/1083).

ג. בקשת יושב ראש ועדת הכלכלה למיזוג הצעות החוק הבאות:

1. הצעת חוק המכר (דירות) (תיקון מס' 9), התשע""ו-2016 (מ/1077).

2. הצעת חוק המכר (דירות) (תיקון-זכות החלפת מתחזק מעלית), התשע""ה-2015 (פ/1502/20).

3. הצעת חוק המכר (דירות) (תיקון – פרטי המפרט), התשע""ו-2016 (פ/2739/20).

4. הצעת חוק המכר (דירות) (תיקון – חובת מסירת תכניות הדירה לקונה), התשע""ו-2016 (פ/2990/20).

ד. בקשת יו""ר ועדת החוקה, חוק ומשפט למיזוג הצעות החוק הבאות לפי סעיף 84(ד) לתקנון:

1. הצעת חוק הפחתת תוספות פיגור שנוספו על קנסות הנגבים בידי המרכז לגביית קנסות, אגרות והוצאות (הוראת שעה), התשע""ו-2016 (מ/1070).

2.הצעת חוק הפחתת תוספות פיגור שהתווספו על קנסות פליליים ומנהליים (הוראת שעה), התשע""ו-2016 (פ/3200/20) של חה""כ אוסאמה סעדי וקבוצת חברי כנסת נוספים."
2016-11-07,2008265,"א. בקשת יושב-ראש ועדת הכנסת להעברת הצעות החוק הבאות מוועדת הכספים לוועדת הכנסת:

1. הצעת חוק התכנית הכלכלית (תיקוני חקיקה ליישום המדיניות הכלכלית לשנות התקציב 2017 ו-2018), התשע""ז-2016 (מ/1083).

2. הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017 ו-2018), התשע""ז-2016 (מ/1083).

3. הצעת חוק יסוד: משק המדינה (תיקון מס' 9) (מ/1081).

ב. בקשת יושב-ראש ועדת הכספים למיזוג הצעות החוק הבאות:

א. הצעת חוק לעידוד השקעה באנרגיות מתחדשות (הטבות מס בשל הפקת חשמל מאנרגיה מתחדשת - הוראת שעה), התשע""ו-2016 (מ/1076).

ב. הצעת חוק לעידוד הקמת מתקנים להפקת אנרגיה מתחדשת (פטור ממס), התשע""ו-2016 (פ/3212/20)."
2016-11-07,2008505,פיצול וקביעת ועדות לדיון בהצעות החוק הנלוות לחוק התקציב
2016-11-09,2008610,"1. בחירת ממלא מקום ליו""ר הכנסת בעת העדרו מהארץ

2. מועדי הכנסים במושב השלישי ופתיחת המושב הרביעי של הכנסת העשרים – אוקטובר 2016 עד אוקטובר 2017

3. הצעת חוק ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017"
2016-11-16,2009084,"א. קביעת ועדות לדיון בפרקים הבאים מתוך הצ""ח ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017 ו- 2018, התשע""ז-2016 (מ/1083):

1. פרק ה', סעיפים 30 עד 41 (עקרונות לקביעת תקציב הביטחון).

2. פרק י""ב (שונות), סעיפים 117 ו-118 (מימון בחירות ברשויות המקומיות).

ב. בקשת חה""כ עפר שלח להעברת הצעת חוק אמות המידה לזכאות לסיוע מאגפי השיקום והמשפחות במשרד הביטחון (תיקוני חקיקה), התשע""ה- 2015 (פ/281/20), מוועדת העבודה הרווחה והבריאות לדיון בוועדה המשותפת של ועדת החוץ והביטחון וועדת העבודה הרווחה והבריאות הדנה בחוק ההסדרים.

ג. בקשת יו""ר ועדת החוקה חוק ומשפט למיזוג הצעות החוק הבאות בהתאם לסעיף 84(ד) לתקנון הכנסת :

1. הצעת חוק העונשין (תיקון מס' 129), התשע""ו-2016 (מ/1079).

2. הצעת חוק העונשין (תיקון – החמרת הענישה לגבי קבלת שירותי זנות מקטין), התשע""ו-2016 (פ/2548/20), של חה""כ יפעת שאשא ביטון וקבוצת חברי כנסת."
2016-11-21,2009156,"1. הצעת חה""כ יואב קיש, יושב ראש ועדת הכנסת, לתיקון כללי האתיקה לחברי הכנסת בעניין ""איסור פרסום קריאה להטלת חרם על מדינת ישראל"".

2. קביעת ועדה לדיון בהצעות החוק הבאות:

א. הצעת חוק ההסדרה, התשע""ה–2015

ב. הצעת חוק ההסדרה, התשע''ו- 2016

ג. הצעת חוק להסדרת התיישבות ביהודה והשומרון, התשע""ז-2016

3. קביעת ועדה לדיון בפרק י""ב (שונות), סעיפים 117 ו-118 (מימון בחירות ברשויות המקומיות) מתוך הצ""ח ההתייעלות הכלכלית (תיקוני חקיקה להשגת יעדי התקציב לשנות 2017 ו- 2018, התשע""ז-2016 (מ/1083)."
2016-11-21,2009411,"1. הצעת חוק ההסדרה, התשע""ה–2015

2. הצעת חוק ההסדרה, התשע''ו- 2016

3. הצעת חוק להסדרת התיישבות ביהודה והשומרון, התשע""ז-2016"
2016-12-07,2009443,אישור תקציב הכנסת לשנות התקציב 2017 ו-2018
2016-12-06,2009761,"העסקת אנשים עם מוגבלות בכנסת, במסגרת ציון היום הבינלאומי לזכויות אנשים עם מוגבלות"
