first_name,last_name,full_name,position,committee,date,work_place,role,raw_line
רומן,גרביץ,רומן גרביץ,מנהל סיעת ישראל ביתנו,1,2016-10-31,,,רומן גרביץ - מנהל סיעת ישראל ביתנו
רן,מלמד,רן מלמד,"סמנכ""ל עמותת ידיד",1,2016-10-31,,,"רן מלמד - סמנכ""ל עמותת ידיד"
נעמי,רייש,נעמי רייש,"מנהלת תחום רגולציה וחקיקה, משרד הכלכלה והתעשייה",1,2016-11-07,משרד הכלכלה והתעשייה,מנהלת תחום רגולציה וחקיקה,"מנהלת תחום רגולציה וחקיקה, משרד הכלכלה והתעשייה  - נעמי רייש"
איתי,טמקין,איתי טמקין,"אגף התקציבים, משרד האוצר",1,2016-11-07,משרד האוצר,אגף התקציבים,"אגף התקציבים, משרד האוצר - איתי טמקין"
איליה,כץ,איליה כץ,"רפרנט מקרו, אגף התקציבים, משרד האוצר",1,2016-11-07,"אגף התקציבים, משרד האוצר",רפרנט מקרו,"רפרנט מקרו, אגף התקציבים, משרד האוצר  - איליה כץ"
יואל,בן אור,יואל בן אור,"מתנדב, מועצה לאומית לכלכלה, משרד ראש הממשלה",1,2016-11-07,"מועצה לאומית לכלכלה, משרד ראש הממשלה",מתנדב,"מתנדב, מועצה לאומית לכלכלה, משרד ראש הממשלה - יואל בן אור"
מזל,נייגו,מזל נייגו,"ממונת חקיקה, לשכת עורכי הדין",1,2016-11-07,לשכת עורכי הדין,ממונת חקיקה,"ממונת חקיקה, לשכת עורכי הדין  - מזל נייגו"
דנית,בוסקילה,דנית בוסקילה,"מנהלת יחידת הכנסת, לשכת עורכי הדין",1,2016-11-07,לשכת עורכי הדין,מנהלת יחידת הכנסת,"מנהלת יחידת הכנסת, לשכת עורכי הדין - דנית בוסקילה"
ארנון,פנץ,ארנון פנץ,"סמנכ""ל, איגוד חברות אנרגיה ירוקה",1,2016-11-07,איגוד חברות אנרגיה ירוקה,"סמנכ""ל","סמנכ""ל, איגוד חברות אנרגיה ירוקה  - ארנון פנץ"
יהושע,שלמה זוהר,יהושע שלמה זוהר,שדלן/ית,1,2016-11-07,,,שדלן/ית - יהושע שלמה זוהר
עדן,קנובסקי,עדן קנובסקי,שדלן/ית,1,2016-11-07,,,שדלן/ית - עדן קנובסקי
