full_name,positions
ליאור תמאם,"איגוד התסריטאים, ארגוני יוצרים ומבצעים| איגוד תסריטאי הקולנוע והטלוויזיה| מנכ""ל איגוד התסריטאים"
גיל עומר,"תאגיד השידור הישראלי| יו""ר תאגיד השידור הציבורי 'כאן'"
יעל שילוני,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, האגודה לזכויות החולה, ההסתדרות הרפואית בישראל, חטיבת אחיות בריאות הציבור, לשכת סוכני ביטוח בישראל, מאוחדת, מגן דוד אדום| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ)| מייצג/ת את ערוץ הקניות (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: הפדרציה הישראלית לתקליטים וקלטות בע""מ, ערוץ 9)| מייצג/ת את ערוץ 9"
אלה אלון,"איגוד שיתופי, משרד הכלכלה| משרד הכלכלה והתעשייה"
רעות קינן,התאחדות התעשיינים| ה. התעשיינים
ארז גילהר,"שדלן/ית| מנכ""ל משותף| מייצג/ת את איגוד הבנקים, בנק הפועלים"
עידית שבתאי סידס,שדלן/ית| מייצג/ת את ועד ראשי האוניברסיטאות
יפעת בן חי שגב,משרד התקשורת| המועצה לשידורי כבלים ולשידורי לוויין
ליאור חיימוביץ,יועץ השר לביטחון פנים| יועץ שר לביטחון פנים
אלכס קושניר,"מנכ""ל משרד הקליטה| מנכ""ל משרד העלייה והקליטה"
מיכל ריבלין,HOT| חברת הוט| חברת יס
איתן גורני,"המשרד לבטחון פנים| הרשות למלחמה בסמים, המשרד לביטחון הפנים"
איתן גולדפלם,המשרד לבטחון פנים| המשרד לביטחון הפנים
זכריה יחיאל רייך,"אינו/ה מייצג/ת לקוחות בדיון זה (לקוחות קבועים נוספים שנושא הישיבה נוגע אליהם באופן ישיר: איגוד לשכות המסחר, פורום המכונים האורטופדיים)| שדלן/ית| מייצג/ת את עמותת דיירי הדיור המוגן בישראל| מייצג/ת את משק צאן נבו| מייצג/ת את רציו חיפושי נפט"
איילת לוי,המשרד לבטחון פנים| המשרד לביטחון פנים| המשרד לביטחון הפנים
עודד אופק,איגוד הבנקים| איגוד הברוקרים
חובב ינאי,"שתי""ל| שתיל| רכז המשמר החברתי"
יער אמיר,מפעילי התחבורה הציבורית| ארגונים לקידום התחבורה הציבורית| פורום חברות התחבורה הציבורית
נילי אבן חן,התנועה לאיכות השלטון| התנועה למען איכות השלטון בישראל
יוסי הירש,גמלאי| פעיל
דרור שטרום,"קבוצת RGE| ערוץ 5| יו""ר הוועדה להגברת התחרות בשירותים הבנקאיים| RGE גרופ| יו""ר הוועדה להגברת התחרות במשק הבנקאי| תל""י – חברת התמלוגים של יוצרי הקולנוע והטלוויזיה| יו""ר ועדת שטרום| מנכ""ל המכון הישראלי לתכנון כלכלי| יו""ר הוועדה להגברת התחרותיות בשירותים הבנקאיים והפיננסיים הנפוצים בישראל| הוועדה להגברת התחרותיות בשירותים בנקאיים ופיננסיים נפוצים"
גילה ורד,הרשות השנייה לטלוויזיה ולרדיו| הרשות השניה לטלוויזיה ולרדיו
שבתי גרברציק,המשרד לבטחון פנים| המשרד לביטחון הפנים
רותם פלג,המשרד לבטחון פנים| המשרד לביטחון פנים| המשרד לביטחון הפנים
שלמה פריזט,מייצג/ת את מגדלי הים התיכון| שדלן/ית| פרטנר תקשורת
שרגא ברוש,נשיא התאחדות התעשיינים| התאחדות התעשיינים בישראל
יצחק אליהו,"נציג ""פורום המים""| פעיל חברתי"
אורי נעמתי,ארגון עובדי הפלחה| ארגוני מגדלים
